Player,Capped/Uncapped,Team,Sold/Unsold,Base Price (cr),Winning Bid (cr)
Praful Hinge,Uncapped,,Unsold,0.3,
Pankaj Jaswal,Uncapped,,Unsold,0.3,
Vijay Kumar,Uncapped,,Unsold,0.3,
Mujtaba Yousuf,Uncapped,,Unsold,0.3,
Prayas Ray Barman,Uncapped,,Unsold,0.3,
Jafar Jamal,Uncapped,,Unsold,0.3,
Ayaz Khan,Uncapped,,Unsold,0.3,
Kaushik Maity,Uncapped,,Unsold,0.3,
Rituraj Sharma,Uncapped,,Unsold,0.3,
Kartik Chadha,Uncapped,,Unsold,0.3,
Writtick Chatterjee,Uncapped,,Unsold,0.3,
Prerit Dutta,Uncapped,,Unsold,0.3,
Rajneesh Gurbani,Uncapped,,Unsold,0.3,
Shubhang Hegde,Uncapped,,Unsold,0.3,
Saransh Jain,Uncapped,,Unsold,0.3,
Ripal Patel,Uncapped,,Unsold,0.3,
Akash Vashisht,Uncapped,,Unsold,0.3,
Anirudh Kanwar,Uncapped,,Unsold,0.3,
Shubham Kapse,Uncapped,,Unsold,0.3,
Atif Mushtaq,Uncapped,,Unsold,0.3,
Dipesh Parwani,Uncapped,,Unsold,0.3,
Manish Reddy,Uncapped,,Unsold,0.3,
Chetan Sharma,Uncapped,,Unsold,0.3,
Avinash Singh,Uncapped,,Unsold,0.3,
Corbin Bosch,Uncapped,,Unsold,0.3,
Mayank Gusain,Uncapped,,Unsold,0.3,
Mukhtar Hussain,Uncapped,,Unsold,0.3,
Girinath Reddy,Uncapped,,Unsold,0.3,
Yajas Sharma,Uncapped,,Unsold,0.3,
Sanjay Yadav,Uncapped,,Unsold,0.3,
Vishal Godara,Uncapped,,Unsold,0.3,
Samarth Nagraj,Uncapped,,Unsold,0.3,
Abhishek Saini,Uncapped,,Unsold,0.3,
Dumindu Sewmina,Uncapped,,Unsold,0.3,
Pradyuman Kumar Singh,Uncapped,,Unsold,0.3,
Vasu Vats,Uncapped,,Unsold,0.3,
Umang Kumar,Uncapped,,Unsold,0.3,
Mohamed Ali,Uncapped,,Unsold,0.3,
Atharva Ankolekar,Uncapped,,Unsold,0.3,
Vaisakh Chandran,Uncapped,,Unsold,0.3,
Auqib Dar,Uncapped,,Unsold,0.3,
Rohit Rayudu,Uncapped,,Unsold,0.3,
Uday Saharan,Uncapped,,Unsold,0.3,
Ayush Vartak,Uncapped,,Unsold,0.3,
Baba Aparajith,Uncapped,,Unsold,0.3,
Sumit Kumar Beniwal,Uncapped,,Unsold,0.3,
Nishunk Birla,Uncapped,,Unsold,0.3,
Digvijay Deshmukh,Uncapped,,Unsold,0.3,
Lakshay Jain,Uncapped,,Unsold,0.3,
Duan Jansen,Uncapped,,Unsold,0.3,
Kritagya Singh,Uncapped,,Unsold,0.3,
P. Vignesh,Uncapped,,Unsold,0.3,
Sabhay Chadha,Uncapped,,Unsold,0.3,
Hemanth Kumar,Uncapped,,Unsold,0.3,
Rohan Rana,Uncapped,,Unsold,0.3,
Bharat Sharma,Uncapped,,Unsold,0.3,
Pratham Singh,Uncapped,,Unsold,0.3,
Ravi Yadav,Uncapped,,Unsold,0.3,
Arjun Azad,Uncapped,,Unsold,0.3,
Abhay Choudhary,Uncapped,,Unsold,0.3,
Gaurav Gambhir,Uncapped,,Unsold,0.3,
Shubham Garhwal,Uncapped,,Unsold,0.3,
Tejasvi Jaiswal,Uncapped,,Unsold,0.3,
Sairaj Patil,Uncapped,,Unsold,0.3,
Kamal Tripathi,Uncapped,,Unsold,0.3,
Prashant Chauhan,Uncapped,,Unsold,0.3,
Yash Dabas,Uncapped,,Unsold,0.3,
Dhruv Kaushik,Uncapped,,Unsold,0.3,
Khrievitso Kense,Uncapped,,Unsold,0.3,
Akash Parkar,Uncapped,,Unsold,0.3,
Tripuresh Singh,Uncapped,,Unsold,0.3,
Vijay Yadav,Uncapped,,Unsold,0.3,
Saurabh Netravalkar,Uncapped,,Unsold,0.3,
Hardik Tamore,Uncapped,,Unsold,0.3,
