Player,Capped/Uncapped,Team,Sold/Unsold,Base Price (cr),Winning Bid (cr)
Jamie Overton,Capped,CSK,Sold,1.5,1.5
Kwena Maphaka,Capped,RR,Sold,0.75,1.5
Rovman Powell,Capped,KKR,Sold,1.5,1.5
Ajinkya Rahane,Capped,KKR,Sold,1.5,1.5
Gurnoor Singh Brar,Uncapped,GT,Sold,0.3,1.3
Mohd. Arshad Khan,Uncapped,GT,Sold,0.3,1.3
Aaron Hardie,Capped,PBKS,Sold,1.25,1.25
Vijay Shankar,Uncapped,CSK,Sold,0.3,1.2
Eshan Malinga,Uncapped,SRH,Sold,0.3,1.2
Akash Madhwal,Uncapped,RR,Sold,0.3,1.2
Vaibhav Suryavanshi,Uncapped,RR,Sold,0.3,1.1
Brydon Carse,Capped,SRH,Sold,1.0,1.0
Jaydev Unadkat,Capped,SRH,Sold,1.0,1.0
Lungisani Ngidi,Capped,RCB,Sold,1.0,1.0
Ryan Rickelton,Capped,MI,Sold,1.0,1.0
Vishnu Vinod,Uncapped,PBKS,Sold,0.3,0.95
Sameer Rizvi,Uncapped,DC,Sold,0.3,0.95
Xavier Bartlett,Capped,PBKS,Sold,0.75,0.8
Kuldeep Sen,Capped,PBKS,Sold,0.75,0.8
Shubham Dubey,Uncapped,RR,Sold,0.3,0.8
Umran Malik,Capped,KKR,Sold,0.75,0.75
Lizaad Williams,Capped,MI,Sold,0.75,0.75
Kamindu Mendis,Capped,SRH,Sold,0.75,0.75
M. Siddharth,Uncapped,LSG,Sold,0.3,0.75
Shamar Joseph,Capped,LSG,Sold,0.75,0.75
Dushmantha Chameera,Capped,DC,Sold,0.75,0.75
Donovan Ferreira,Capped,DC,Sold,0.75,0.75
Manish Pandey,Capped,KKR,Sold,0.75,0.75
Karim Janat,Capped,GT,Sold,0.75,0.75
Ishant Sharma,Capped,GT,Sold,0.75,0.75
Jayant Yadav,Capped,GT,Sold,0.75,0.75
Matthew Breetzke,Capped,LSG,Sold,0.75,0.75
Reece Topley,Capped,MI,Sold,0.75,0.75
Kumar Kushagra,Uncapped,GT,Sold,0.3,0.65
Robin Minz,Uncapped,MI,Sold,0.3,0.65
Vansh Bedi,Uncapped,CSK,Sold,0.3,0.55
Karn Sharma,Uncapped,MI,Sold,0.5,0.5
Swapnil Singh,Uncapped,RCB,Sold,0.3,0.5
Vipraj Nigam,Uncapped,DC,Sold,0.3,0.5
Karun Nair,Uncapped,DC,Sold,0.3,0.5
Anukul Roy,Uncapped,KKR,Sold,0.3,0.4
Madhav Tiwari,Uncapped,DC,Sold,0.3,0.4
Zeeshan Ansari,Uncapped,SRH,Sold,0.3,0.4
Yudhvir Charak,Uncapped,RR,Sold,0.3,0.35
Aniket Verma,Uncapped,SRH,Sold,0.3,0.3
Kunal Rathore,Uncapped,RR,Sold,0.3,0.3
Sachin Baby,Uncapped,SRH,Sold,0.3,0.3
Mohit Rathee,Uncapped,RCB,Sold,0.3,0.3
Abhinandan Singh,Uncapped,RCB,Sold,0.3,0.3
Swastik Chhikara,Uncapped,RCB,Sold,0.3,0.3
Manoj Bhandage,Uncapped,RCB,Sold,0.3,0.3
Ashok Sharma,Uncapped,RR,Sold,0.3,0.3
Kumar Kartikeya Singh,Uncapped,RR,Sold,0.3,0.3
Himmat Singh,Uncapped,LSG,Sold,0.3,0.3
Harnoor Pannu,Uncapped,PBKS,Sold,0.3,0.3
Musheer Khan,Uncapped,PBKS,Sold,0.3,0.3
Luvnith Sisodia,Uncapped,KKR,Sold,0.3,0.3
Nishant Sindhu,Uncapped,GT,Sold,0.3,0.3
Anuj Rawat,Uncapped,GT,Sold,0.3,0.3
Manav Suthar,Uncapped,GT,Sold,0.3,0.3
Kulwant Khejroliya,Uncapped,GT,Sold,0.3,0.3
Darshan Nalkande,Uncapped,DC,Sold,0.3,0.3
Ajay Mandal,Uncapped,DC,Sold,0.3,0.3
Manvanth Kumar L,Uncapped,DC,Sold,0.3,0.3
Tripurana Vijay,Uncapped,DC,Sold,0.3,0.3
