Player,Winning Bid (cr),Runs,Mat,Inns,NO,HS,Avg,BF,SR,100,50,4s,6s
Tristan Stubbs,10.00,378,14,13,6,71*,54,198,190.9,0,3,24,26
Ashutosh Sharma,3.80,189,11,9,2,61,27,113,167.25,0,1,10,15
Faf Du Plessis,2.00,438,15,15,0,64,29.2,271,161.62,0,4,47,21
KL Rahul,14.00,520,14,14,0,82,37.14,382,136.12,0,4,45,19
Axar Patel,16.50,235,14,12,4,66,29.38,179,131.28,0,2,19,10
Kuldeep Yadav,13.25,47,11,5,2,35*,15.67,41,114.63,0,0,6,1
Darshan Nalkande,0.30,12,3,1,0,12,12,11,109.09,0,0,0,1
Mitchell Starc,11.75,9,14,5,3,6*,4.5,11,81.81,0,0,1,0
Donovan Ferreira,0.75,8,2,2,0,7,4,11,72.72,0,0,0,0
Mukesh Kumar,8.00,3,10,2,1,3,3,9,33.33,0,0,0,0
Mohit Sharma,2.20,4,12,3,1,4,2,15,26.66,0,0,0,0
MS Dhoni,4.00,161,14,11,8,37*,53.67,73,220.54,0,0,14,13
Shivam Dube,12.00,396,14,14,3,66*,36,244,162.29,0,3,28,28
Ruturaj Gaikwad,18.00,583,14,14,3,108*,53,413,141.16,1,4,58,18
Ravindra Jadeja,18.00,267,14,11,5,57*,44.5,187,142.78,0,1,22,8
Rachin Ravindra,4.00,222,10,10,0,61,22.2,138,160.86,0,1,22,12
Rahul Tripathi,3.40,165,6,6,0,55,27.5,115,143.47,0,1,18,6
Deepak Hooda,1.70,145,11,9,1,50,18.13,105,138.09,0,1,16,3
Sam Curran,2.40,270,13,12,2,63*,27,219,123.28,0,2,24,6
Vijay Shankar,1.20,83,7,7,2,17,16.6,72,115.27,0,0,7,2
Ravichandaran Ashwin,9.75,86,15,9,3,29,14.33,74,116.21,0,0,5,4
Noor Ahmad,10.00,5,10,4,2,4,2.5,9,55.55,0,0,1,0
